2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 17:36:41.486779||error||collecting ads||Error||1||0
2016-12-07 17:37:21.645121||error||collecting ads||Error||3||1
2016-12-07 17:37:33.007771||error||collecting ads||Error||2||0
2016-12-07 17:37:39.259955||error||collecting ads||Error||0||1
2016-12-07 17:37:46.495957||error||collecting ads||Error||1||0
2016-12-07 17:38:26.653885||error||collecting ads||Error||3||1
2016-12-07 17:38:38.017853||error||collecting ads||Error||2||0
2016-12-07 17:38:44.268096||error||collecting ads||Error||0||1
2016-12-07 17:38:51.504011||error||collecting ads||Error||1||0
2016-12-07 17:38:51.504063||event||progress-marker||measurement-end||1||0
2016-12-07 17:39:31.661973||error||collecting ads||Error||3||1
2016-12-07 17:39:43.027871||error||collecting ads||Error||2||0
2016-12-07 17:39:49.277036||error||collecting ads||Error||0||1
2016-12-07 17:39:49.277085||event||progress-marker||measurement-end||0||1
2016-12-07 17:40:36.671721||error||collecting ads||Error||3||1
2016-12-07 17:40:36.671795||event||progress-marker||measurement-end||3||1
2016-12-07 17:40:48.039095||error||collecting ads||Error||2||0
2016-12-07 17:40:48.039167||event||progress-marker||measurement-end||2||0
2016-12-07 17:40:48.157731||meta||block_id end||0
2016-12-07 17:40:48.157872||meta||block_id start||1
2016-12-07 17:40:48.157886||meta||assignment||2@|0@|1@|3
2016-12-07 17:40:50.168898||event||progress-marker||training-start||2||0
2016-12-07 17:40:50.168984||event||progress-marker||training-end||2||0
2016-12-07 17:40:50.346916||event||progress-marker||training-start||0||0
2016-12-07 17:40:50.347056||event||progress-marker||training-end||0||0
2016-12-07 17:40:50.394327||event||progress-marker||training-start||3||1
2016-12-07 17:40:50.439574||event||progress-marker||training-start||1||1
2016-12-07 17:41:04.829796||treatment||visit website||http://fairvote.org||1||1
2016-12-07 17:41:05.822721||treatment||visit website||http://fairvote.org||3||1
2016-12-07 17:41:13.438645||treatment||visit website||http://aceproject.org||1||1
2016-12-07 17:41:13.715058||treatment||visit website||http://aceproject.org||3||1
2016-12-07 17:41:21.618499||treatment||visit website||http://votenet.com||1||1
2016-12-07 17:41:25.475005||treatment||visit website||http://votenet.com||3||1
2016-12-07 17:41:35.070675||treatment||visit website||http://blackboxvoting.org||1||1
2016-12-07 17:41:36.164479||treatment||visit website||http://blackboxvoting.org||3||1
2016-12-07 17:41:44.216922||treatment||visit website||http://aristotle.com||1||1
2016-12-07 17:41:46.178648||treatment||visit website||http://aristotle.com||3||1
2016-12-07 17:41:54.581616||treatment||visit website||http://ifes.org||1||1
2016-12-07 17:41:58.038764||treatment||visit website||http://ifes.org||3||1
2016-12-07 17:42:03.316380||treatment||visit website||http://completecampaigns.com||1||1
2016-12-07 17:42:06.122693||treatment||visit website||http://completecampaigns.com||3||1
2016-12-07 17:42:13.006635||treatment||visit website||http://bluestatedigital.com||1||1
2016-12-07 17:42:16.298640||treatment||visit website||http://bluestatedigital.com||3||1
2016-12-07 17:42:33.587278||treatment||visit website||http://electoral-reform.org.uk||1||1
2016-12-07 17:42:40.349326||treatment||visit website||http://fidlar.com||1||1
2016-12-07 17:42:47.126639||treatment||visit website||http://electoral-reform.org.uk||3||1
2016-12-07 17:42:51.068500||treatment||visit website||http://campaignsandelections.com||1||1
2016-12-07 17:42:53.542647||treatment||visit website||http://fidlar.com||3||1
2016-12-07 17:42:59.889053||treatment||visit website||http://electionguide.org||1||1
2016-12-07 17:43:06.130632||treatment||visit website||http://campaignsandelections.com||3||1
2016-12-07 17:43:07.954632||treatment||visit website||http://e-democracy.org||1||1
2016-12-07 17:43:15.654681||treatment||visit website||http://electionguide.org||3||1
2016-12-07 17:43:15.950625||treatment||visit website||http://onlinecandidate.com||1||1
2016-12-07 17:43:23.044165||treatment||visit website||http://robodial.org||1||1
2016-12-07 17:43:23.044245||event||progress-marker||training-end||1||1
2016-12-07 17:43:27.250907||treatment||visit website||http://e-democracy.org||3||1
2016-12-07 17:44:07.258854||error||website timeout||http://onlinecandidate.com||3||1
2016-12-07 17:44:14.314211||treatment||visit website||http://robodial.org||3||1
2016-12-07 17:44:14.314288||event||progress-marker||training-end||3||1
